Column,reference,text,name,normalized,cluster_key_collision,cluster_levenshtein,cluster_levenshtein_radius2,cluster_levenshtein_block5
48,073:025, i-pé-e$ an-nu-tu4 a-na m.ÌR-a-$i-ir-ta, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
49,074:001, m.ri-ib-ad-da iq-bi a-na EN-l[i-$u], m.ri-ib-ad-da, m.ri-ib-ad-da, m.ri-ib-ad-da, m.ri-ib-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di
50,074:015, DINGIR.MEß KUR-k[a T]I ga-am-ru DUMU.MEß-nu f.DUMU.MÍ.MEß<-nu>, f.DUMU.MÍ.MEß<-nu>, f.DUMU.MÍ.MEŠ<-nu>, f.DUMU.MÍ.MEŠ-nu, f.DUMU.MÍ.MEŠ-nu, f.DUMU.MÍ.MEŠ-nu, f.DUMU.MÍ.MEŠ-nu
51,074:024, m.ÌR-a-$i-ir(!)-ta URU $i-ga-ta a-na $a-a-$u, m.ÌR-a-$i-ir, m.ÌR-a-ši-ir, m.ÌR-a-ši-ir, m.ÌR-a-ši-ir, m.ÌR-a-ši-ir, m.ÌR-a-ši-ir
52,074:030, i$-tap-pa-ar m.ÌR-a-$i-ir-ta a-na ÉRIN.MEß, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
53,074:038, ù f.DUMU.MÍ.MEß a<-na> (or: a-<-di>) da-ri-ti UD.KÁM.MEß, f.DUMU.MÍ.MEß, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ
54,074:051, a-nu-ma m.a-ma-an-ap-pa it-ti-ka $a-al-$u, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa
55,075:001, [m.r]i-i[b-]a[d-d]a [iq-bi], [m.r]i-i[b-]a[d-d]a, m.ri-ib-ad-da, m.ri-ib-ad-da, m.ri-ib-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di
56,075:025, [KUR.KUR] LUGAL-ri EN-ia m.a-d[u-na], m.a-d[u-na], m.a-du-na, m.a-du-na, m.a-du-na, m.a-du-na, m.a-du-na
57,075:029, m.ÌR-a-$i-ir-ta ù ti-ìl-q[ú-n]a, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
58,075:030, m.mi-ya LÚ UR[U] a-ra-a$-ni, m.mi-ya, m.mi-ya, m.mi-ya, m.mi-ya, m.mi-ya, m.mi-ya
